gid_1,name_1,Population,GDP,GDP_per_capita,Cells,year
LKA.6_1,Galle,1.7261021104219445,23173.60479713727,13425.396248123756,6.0,2015
LKA.7_1,Gampaha,1.681368508935026,23370.69711827392,13899.806612339167,3.0,2015
LKA.8_1,Hambantota,0.7138475154001364,8263.72451349101,11576.31613925126,8.0,2015
LKA.9_1,Jaffna,0.3011147842403871,3453.017345369079,11467.445393224043,6.0,2015
LKA.10_1,Kalutara,1.916026725237855,26486.506447740918,13823.662321021586,4.0,2016
LKA.11_1,Kandy,0.21546153921265349,2482.685670649127,11522.639630819669,2.0,2016
LKA.12_1,Kegalle,2.044526957560742,27642.754046620925,13520.366627789826,3.0,2016
LKA.13_1,Kilinochchi,0.32840314623213324,5165.927301909721,15730.4440020747,4.0,2016
LKA.14_1,Kurunegala,1.2852193338102798,15763.800842391935,12265.45573015706,6.0,2016
LKA.15_1,Mannar,0.10393670127466761,1143.9920758932576,11006.622895122433,5.0,2016
LKA.16_1,Matale,0.24355304228437386,2926.8565085082464,12017.326825631819,3.0,2016
LKA.17_1,Matara,0.8709213326884542,12204.281127298435,14013.069457863594,4.0,2016
LKA.18_1,Moneragala,0.5496433672126302,6450.834309805659,11736.399808696584,8.0,2016
LKA.19_1,Mullaitivu,0.1488279234987187,1727.4955833671938,11607.335120697739,4.0,2016
LKA.1_1,Ampara,0.6550857085687979,11086.888521497764,16924.33276512764,6.0,2016
LKA.20_1,Nuwara Eliya,0.738840425772295,10035.892485586619,13583.301800380377,2.0,2016
LKA.21_1,Polonnaruwa,0.3864968788757068,4607.278529219998,11920.609922186846,4.0,2016
LKA.22_1,Puttalam,0.834938911523162,10046.730743599046,12032.893191276713,11.0,2016
LKA.23_1,Ratnapura,1.506502956907059,19195.964284653168,12742.068773674122,5.0,2016
LKA.24_1,Trincomalee,0.2033533821536722,3361.025459543202,16528.003733930065,4.0,2016
LKA.25_1,Vavuniya,0.16323019241832465,1897.0285508759346,11621.799391219545,4.0,2016
LKA.2_1,Anuradhapura,0.7505290290405495,9014.764151084168,12011.213160679916,9.0,2016
LKA.3_1,Badulla,0.5995041317509804,7347.37894958834,12255.760319997702,3.0,2016
LKA.4_1,Batticaloa,0.22919210871360804,3563.903582272643,15549.852925896308,4.0,2016
LKA.5_1,Colombo,3.684599927325924,67532.57868256538,18328.334151484592,2.0,2016
LKA.6_1,Galle,1.7350326666555047,25403.449662546387,14641.482060112883,6.0,2016
LKA.7_1,Gampaha,1.685357911186935,24815.25717361523,14724.028058905758,3.0,2016
LKA.8_1,Hambantota,0.7279278936785131,8763.375921263158,12038.796695890147,8.0,2016
LKA.9_1,Jaffna,0.3036598064164595,3749.755637903558,12348.54122498152,6.0,2016
LKA.10_1,Kalutara,1.9769717139455583,27819.19315075335,14071.61921160367,4.0,2017
LKA.11_1,Kandy,0.21896311537381263,2565.3637608455037,11715.96301261027,2.0,2017
LKA.12_1,Kegalle,2.0623926981455227,28592.827158163105,13863.910197060633,3.0,2017
LKA.13_1,Kilinochchi,0.3327877201339735,5257.707116808132,15798.981749361084,4.0,2017
LKA.14_1,Kurunegala,1.2966454668150287,16341.053775399148,12602.561142281971,6.0,2017
LKA.15_1,Mannar,0.10187028142749334,1148.0885381408232,11270.102742947467,5.0,2017
LKA.16_1,Matale,0.2435999807705105,3013.4399553661897,12370.444143035777,3.0,2017
LKA.17_1,Matara,0.880604938477581,12525.67806907147,14223.94710927499,4.0,2017
LKA.18_1,Moneragala,0.5447694118003227,6485.136883043155,11904.37044108524,8.0,2017
LKA.19_1,Mullaitivu,0.15543195363342527,1843.072838304287,11857.747362881622,4.0,2017
LKA.1_1,Ampara,0.6495968586843117,11313.628405225689,17416.38410650603,6.0,2017
LKA.20_1,Nuwara Eliya,0.748712887088235,10570.931167338287,14118.80488453849,2.0,2017
LKA.21_1,Polonnaruwa,0.38719194244210453,4787.363829851456,12364.316776987926,4.0,2017
LKA.22_1,Puttalam,0.8406631195740669,10418.332368934201,12392.993253008157,11.0,2017
LKA.23_1,Ratnapura,1.5090298933101796,19911.817098749543,13195.111102187218,5.0,2017
LKA.24_1,Trincomalee,0.20408355696749558,3522.3045824092287,17259.129715042287,4.0,2017
LKA.25_1,Vavuniya,0.15337089892132227,1837.3607140959148,11979.852286309297,4.0,2017
